Chemical,CAS #/Comp ID,Clean Air Act Chemical,Classification,Metal,Metal Category,Carcinogen,Form Type,Unit of Measure,Risk Factor
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,YES,DIOXIN,NO,0,NO,R,Grams,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-BUTYL ALCOHOL,71363,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHYL ISOBUTYL KETONE,108101,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHYL TERT-BUTYL ETHER,1634044,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ACETONITRILE,75058,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CARBON DISULFIDE,75150,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CARBONYL SULFIDE,463581,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",7664939,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
HYDROGEN CYANIDE,74908,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
TERT-BUTYL ALCOHOL,75650,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
VANADIUM COMPOUNDS,N770,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NICKEL COMPOUNDS,N495,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
MERCURY COMPOUNDS,N458,YES,PBT,YES,1,NO,R,Pounds,Unknown
DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,YES,DIOXIN,NO,0,NO,R,Grams,Unknown
ANTIMONY COMPOUNDS,N010,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
CUMENE,98828,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLENE,74851,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZENE,71432,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TETRACHLOROETHYLENE,127184,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
PROPYLENE,115071,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
CYCLOHEXANE,110827,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
PHENOL,108952,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.3-BUTADIENE,106990,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
VINYL ACETATE,108054,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
SEC-BUTYL ALCOHOL,78922,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
PROPYLENE,115071,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
PHENOL,108952,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
MALEIC ANHYDRIDE,108316,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLENE,74851,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHLORINE,7782505,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,A,Pounds,Unknown
MANGANESE COMPOUNDS,N450,YES,NON-PBT,YES,1,NO,A,Pounds,Unknown
DIISOCYANATES,N120,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
DICHLOROMETHANE,75092,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
PHOSPHORUS (YELLOW OR WHITE),7723140,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
NICKEL,7440020,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
MANGANESE,7439965,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
COPPER,7440508,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
CHROMIUM,7440473,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIISOCYANATES,N120,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
COPPER COMPOUNDS,N100,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
NICKEL,7440020,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
MANGANESE,7439965,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
COPPER,7440508,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
ANTIMONY,7440360,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ALUMINUM (FUME OR DUST),7429905,NO,NON-PBT,YES,4,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
MERCURY COMPOUNDS,N458,YES,PBT,YES,1,NO,R,Pounds,Unknown
MANGANESE COMPOUNDS,N450,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
HYDROGEN FLUORIDE,7664393,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,YES,DIOXIN,NO,0,NO,R,Grams,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
PHTHALIC ANHYDRIDE,85449,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
MIXTURE,MIXTURE,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
FORMALDEHYDE,50000,YES,NON-PBT,NO,0,YES,A,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
BENZENE,71432,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
NICKEL,7440020,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
COPPER,7440508,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
P-PHENYLENEDIAMINE,106503,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,A,Pounds,Unknown
COPPER COMPOUNDS,N100,NO,NON-PBT,YES,1,NO,A,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
COPPER,7440508,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
MALEIC ANHYDRIDE,108316,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCHLORINATED ALKANES,N583,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
2-PHENYLPHENOL,90437,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
MERCURY COMPOUNDS,N458,YES,PBT,YES,1,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
N-METHYL-2-PYRROLIDONE,872504,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-BUTYL ALCOHOL,71363,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
N.N-DIMETHYLFORMAMIDE,68122,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
FORMALDEHYDE,50000,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DICHLOROMETHANE,75092,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
CHLOROFORM,67663,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
ACETONITRILE,75058,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
VINYLIDENE CHLORIDE,75354,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TRIETHYLAMINE,121448,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TRIBENURON METHYL,101200480,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TITANIUM TETRACHLORIDE,7550450,YES,NON-PBT,YES,2,NO,R,Pounds,Unknown
TERT-BUTYL ALCOHOL,75650,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",7664939,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
SODIUM NITRITE,7632000,NO,NON-PBT,YES,2,NO,R,Pounds,Unknown
SEC-BUTYL ALCOHOL,78922,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
PICRIC ACID,88891,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
PHOSGENE,75445,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
PHENOL,108952,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
P-PHENYLENEDIAMINE,106503,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
P-NITROANILINE,100016,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
P-DINITROBENZENE,100254,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
O-DINITROBENZENE,528290,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITROBENZENE,98953,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NICKEL COMPOUNDS,N495,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
N-METHYL-2-PYRROLIDONE,872504,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-BUTYL ALCOHOL,71363,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
N.N-DIMETHYLFORMAMIDE,68122,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
MONOCHLOROPENTAFLUOROETHANE,76153,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHYL ISOBUTYL KETONE,108101,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
MERCURY COMPOUNDS,N458,YES,PBT,YES,1,NO,R,Pounds,Unknown
MANGANESE COMPOUNDS,N450,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
M-DINITROBENZENE,99650,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
HYDROGEN FLUORIDE,7664393,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
HEXACHLOROBENZENE,118741,YES,PBT,NO,0,YES,R,Pounds,Unknown
FORMIC ACID,64186,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLENE OXIDE,75218,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLENE,74851,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,YES,DIOXIN,NO,0,NO,R,Grams,Unknown
DIMETHYLAMINE,124403,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIISOCYANATES,N120,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIETHANOLAMINE,111422,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DICHLOROTETRAFLUOROETHANE (CFC-114),76142,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
DICHLOROMETHANE,75092,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
CYCLOHEXANE,110827,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
CYANIDE COMPOUNDS,N106,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
COPPER COMPOUNDS,N100,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
CHLOROMETHANE,74873,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHLOROBENZENE,108907,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHLORINE,7782505,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHLORDANE,57749,YES,PBT,NO,0,YES,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZYL CHLORIDE,100447,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
BENZENE,71432,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
ANILINE,62533,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ACRYLIC ACID,79107,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ACETONITRILE,75058,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ACETAMIDE,60355,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
4-NITROPHENOL,100027,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
2-CHLORO-1.1.1-TRIFLUOROETHANE,75887,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
2-CHLORO-1.1.1.2-TETRAFLUOROETHANE,2837890,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
2.4-DINITROPHENOL,51285,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
2.2-DICHLORO-1.1.1-TRIFLUOROETHANE,306832,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.3-PHENYLENEDIAMINE,108452,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.2-PHENYLENEDIAMINE,95545,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
TERT-BUTYL ALCOHOL,75650,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
HYDROGEN FLUORIDE,7664393,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHROMIUM,7440473,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
SILVER COMPOUNDS,N740,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
STYRENE,100425,YES,NON-PBT,NO,0,YES,A,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
N-METHYL-2-PYRROLIDONE,872504,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
N-BUTYL ALCOHOL,71363,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
METHYL ISOBUTYL KETONE,108101,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIETHANOLAMINE,111422,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
DIBUTYL PHTHALATE,84742,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
DI(2-ETHYLHEXYL) PHTHALATE,117817,YES,NON-PBT,NO,0,YES,A,Pounds,Unknown
CYCLOHEXANE,110827,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
CUMENE,98828,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZENE,71432,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
BARIUM COMPOUNDS,N040,NO,NON-PBT,YES,3,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CYCLOHEXANE,110827,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
BENZENE,71432,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NICKEL,7440020,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
MERCURY,7439976,YES,PBT,YES,1,NO,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
DIISOCYANATES,N120,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHLORODIFLUOROMETHANE,75456,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
